ticker,NAME,CIE_DES,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
CEVA UW,CEVA INC,"CEVA, Inc. licenses DSP-based platforms applications to the semiconductor industry. The Company markets IPs for vision, audio, communications, and connectivity. CEVA serves a range of end markets, including mobile, consumer, automotive, and industrial.",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
CF UN,CF INDUSTRIES HOLDINGS INC,"CF Industries Holdings, Inc. manufactures and distributes nitrogen and phosphate fertilizer products globally. The Company offers products in the nitrogen segment includes ammonia, urea, urea ammonium nitrate solution, ammonium nitrate, diesel exhaust fluid, and aqua ammonia.",Materials,Materials,Chemicals,Fertilizers & Agricultural Che
CFB UW,CROSSFIRST BANKSHARES INC,"CrossFirst Bankshares, Inc. operates as a bank holding company. The Company, through its subsidiaries, provides personal banking, wealth management, loans, savings accounts, leasing, retirement plans, investment management, and insurance services to businesses. CrossFirst Bankshares serves customers in the United States.",Financials,Banks,Banks,Regional Banks
CFFN UW,CAPITOL FEDERAL FINANCIAL IN,"Capitol Federal Financial, Inc. is a bank holding company. The Company's banking subsidiary provides a wide range of banking products and services, including home loans, checking and savings accounts, insurance, and online banking services.",Financials,Banks,Banks,Regional Banks
CFG UN,CITIZENS FINANCIAL GROUP,"Citizens Financial Group, Inc. provides a full range of commercial banking services. The Bank offers consumer loans, commercial loans, mortgage loans, deposit products, internet banking, and trust services. Citizens Financial Group serves customers in the United States.",Financials,Banks,Banks,Regional Banks
CFLT UW,CONFLUENT INC-CLASS A,"Confluent, Inc. operates as a software company. The Company offers a new category of data infrastructure designed to connect all the applications, systems, and data layers of a company around a real-time central nervous system, as well as generates revenue from the sale of subscriptions and services. Confluent serves clients worldwide.",Information Technology,Software & Services,Software,Application Software
CFR UN,CULLEN/FROST BANKERS INC,"Cullen/Frost Bankers, Inc. is the holding company for The Frost National Bank. The Bank provides commercial banking, consumer services, investment banking, international banking, trust services, correspondent banking, discount brokerage, and insurance services through a network of offices in Texas.",Financials,Banks,Banks,Regional Banks
CG UW,CARLYLE GROUP INC/THE,"The Carlyle Group Inc. operates as a global investment firm. The Company manages investment vehicles that invests across four segments which includes corporate private equity, real assets, global credit, and investment solutions. Carlyle Group serves clients worldwide.",Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
CGEM UW,CULLINAN ONCOLOGY INC,"Cullinan Oncology, Inc. operates as a biopharmaceutical company. The Company focuses on developing a diversified pipeline of targeted oncology and immuno-oncology therapies with transformative potential for cancer patients. Cullinan Oncology serves customers worldwide.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
CGNX UW,COGNEX CORP,"Cognex Corporation designs, develops, manufactures, and markets machine vision systems. The Company's systems are used to automate the manufacture of a variety of discrete items and to assure their quality. Cognex has regional offices located throughout North America, Japan, Europe, and Southeast Asia.",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
CHCO UW,CITY HOLDING CO,"City Holding Company is a multi-bank holding company. The Banks provide diversified financial products and services to consumers and local businesses in West Virginia, Ohio, and California. City Holding provides credit, deposit, investment advisory, securities brokerage, insurance, and technology products and services.",Financials,Banks,Banks,Regional Banks
CHCT UN,COMMUNITY HEALTHCARE TRUST I,"Community Healthcare Trust, Inc. is a fully-integrated healthcare real estate company. The Company was organized as a Maryland corporation to acquire and own properties that are leased to hospitals, doctors, healthcare systems or other healthcare service providers in Non-Urban markets.",Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs
CHD UN,CHURCH & DWIGHT CO INC,"Church & Dwight Co., Inc. develops, manufactures, and distributes household, personal care, and specialty products. The Company offers contraceptive products, laundry and dishwashing detergents, toothbrushes, shampoos, vitamins, pregnancy test kits, and hair removers. Church & Dwight serves customers worldwide.",Consumer Staples,Household & Personal Products,Household Products,Household Products
CHDN UW,CHURCHILL DOWNS INC,"Churchill Downs Incorporated is an industry-leading racing, online wagering, and gaming entertainment company. The Company owns and operates gaming entertainment venues. Churchill Downs serves customers in the United States.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
CHE UN,CHEMED CORP,"Chemed Corporation operates as a holding company. The Company, through its subsidiaries, provides hospice and palliative care services to its patients through a network of physicians, registered nurses, home health aides, clergy, and volunteers, as well as offers plumbing, drain cleaning, excavation, and water restoration services. Chemed conducts business in the United States.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
CHEF UW,CHEFS' WAREHOUSE INC/THE,"The Chefs' Warehouse, Inc. operates as a premier distributor of specialty food products in the United States. The Company focused on serving the specific needs of chefs who own and operate restaurants, fine dining establishments, country clubs, hotels, caterers, culinary schools, and specialty food stores.",Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Distributors
CHGG UN,CHEGG INC,"Chegg, Inc. provides online educational platform. The Company offers homework help, course selection, note taking, manuals, and textbook rentals services. Chegg serves customers in the United States.",Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
CHH UN,CHOICE HOTELS INTL INC,"Choice Hotels International, Inc. operates as a hospitality franchising company. The Company offers comfortable and affordable hotels ranging from economy to luxury accommodation. Choice Hotels International serves customers worldwide.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
CHK UW,CHESAPEAKE ENERGY CORP,"Chesapeake Energy Corporation produces oil and natural gas. The Company's operations are focused on discovering, developing, and acquiring conventional and unconventional natural gas reserves onshore in the United States.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
CHPT UN,CHARGEPOINT HOLDINGS INC,"ChargePoint Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, provides electric vehicle charging solutions which enables the electrification of mobility for all people and goods. ChargePoint Holdings serves customers in the North America and Europe.",Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
CHRD UW,CHORD ENERGY CORP,"Chord Energy Corporation operates as an oil and gas exploration company. The Company acquires, exploits, develops, and explores for crude oil, natural gas, and natural gas liquids. Chord Energy serves customers in the United States.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
CHRS UQ,COHERUS BIOSCIENCES INC,"Coherus Biosciences, Inc. operates as a biopharmaceutical company. The Company develops biosimilar therapeutics to aid patients.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
CHRW UW,C.H. ROBINSON WORLDWIDE INC,"C.H. Robinson Worldwide, Inc. operates as a logistics company. The Company freight, supply chain, and logistics services. C.H. Robinson Worldwide serves clients worldwide.",Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
CHS UN,CHICO'S FAS INC,"Chico's FAS, Inc. sells private label women's casual clothing and related accessories. The Company's clothing includes tops, pants, shorts, skirts, and dresses. Chico's owns and operates stores throughout the United States.",Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
CHTR UW,CHARTER COMMUNICATIONS INC-A,"Charter Communications, Inc. operates as a cable telecommunications company. The Company offers cable broadcasting, internet, voice, and mass media services. Charter Communications serves customers in the United States.",Communication Services,Media & Entertainment,Media,Cable & Satellite
CHUY UW,CHUY'S HOLDINGS INC,"Chuy's Holdings, Inc. operates as a full-service restaurant. The Company offers an enchiladas, fajitas, tacos, burritos, and combination platters, complemented by a variety of appetizers, soups and salads, as well as a variety of homemade sauces. Chuy's Holdings serves customers in the United States.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
CHX UW,CHAMPIONX CORP,Championx Corporation provides energy solutions. The Company focuses on upstream & midstream oilfield technology such as chemistry programs and drilling activities. Championx serves customers worldwide.,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
CI UN,THE CIGNA GROUP,"The Cigna Group operates as an insurance company. The Company offers life, accident, disability, supplemental, medicare, and dental insurance products and services. The Cigna Group serves individuals, families, and businesses worldwide.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
CIEN UN,CIENA CORP,"Ciena Corporation develops and markets communications network platforms, software, and offers professional services. The Company's broadband access, data and optical networking platforms, software tools, and global network services support worldwide telecom and cable/MSO services providers, and enterprise and government networks.",Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
CIFR UW,CIPHER MINING INC,Cipher Mining Inc. provides financial services. The Company offers Bitcoin mining services. Cipher Mining serves customers worldwide.,Information Technology,Software & Services,Software,Application Software
CIM UN,CHIMERA INVESTMENT CORP,"Chimera Investment Corporation is a specialty finance company. The Company invests in residential mortgage loans, residential mortgage-backed securities, real estate-related securities, and various other asset classes.",Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
CINF UW,CINCINNATI FINANCIAL CORP,"Cincinnati Financial Corporation, through its subsidiaries, offers property and casualty and life insurance. The Company markets a variety of insurance products and provides leasing and financing services.",Financials,Insurance,Insurance,Property & Casualty Insurance
CIO UN,CITY OFFICE REIT INC,"City Office REIT, Inc. acquires, owns and operates office properties. The Company invests in properties located in metropolitan areas in the Southern and Western United States.",Real Estate,Equity Real Estate Investment,Office REITs,Office REITs
CIR UN,CIRCOR INTERNATIONAL INC,"CIRCOR International, Inc. provides flow control products and services. The Company offers valves, instrumentation, actuation, pumps, motors, and regulators. CIRCOR International serves industrial, aerospace, and defense markets worldwide.",Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
CISO UR,CISO GLOBAL INC,"CISO Global, Inc. provides cyber security software solutions. The Company offers integrating compliance and security solutions to assist in safeguarding data, financial information, intellectual property, and business assets. CISO Global serves customers worldwide.",Information Technology,Software & Services,IT Services,IT Consulting & Other Services
CIVB UR,CIVISTA BANCSHARES INC,"Civista Bancshares, Inc. operates as a holding company. The Company, through its subsidiaries, offers banking, borrowing, and management services. Civista Bancshares serves customers in the United States.",Financials,Banks,Banks,Regional Banks
CIVI UN,CIVITAS RESOURCES INC,"Civitas Resources, Inc. operates as an oil and natural gas company. The Company focuses on developing and producing crude oil, natural gas, and natural gas liquids in Colorado's Denver-Julesburg (DJ) Basin. Civitas Resources serves customers in the United States.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
CIX UA,COMPX INTERNATIONAL INC,"CompX International Inc. manufactures security products. The Company provides lock components utilized in cabinet locks, ignition switches, office furniture, postal boxes, healthcare, vending and gas stations, and exhaust systems. CompX International serves customers in the United States.",Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies
CL UN,COLGATE-PALMOLIVE CO,"Colgate-Palmolive Company is a consumer products company that markets its products throughout the world. The Company's products include toothpaste, toothbrushes, shampoos, deodorants, bar and liquid soaps, dishwashing liquid, and laundry products, as well as pet nutrition products for cats and dogs.",Consumer Staples,Household & Personal Products,Household Products,Household Products
CLAR UW,CLARUS CORP,"Clarus Corporation manufactures athletic equipment. The Company develops and distributes outdoor and lifestyle products focused on climb, ski, mountain, and technical categories. Clarus Corporation serves customers worldwide.",Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
CLBK UW,COLUMBIA FINANCIAL INC,"Columbia Financial, Inc. operates as an investment holding company. The Company, through its subsidiaries, offers banking services including online and mobile banking and lending facilities, title, investment, and wealth management services.",Financials,Banks,Banks,Regional Banks
CLDT UN,CHATHAM LODGING TRUST,"Chatham Lodging Trust is a self-advised hotel investment company. The Company invests in upscale extended-stay, select-service, and full service hotels. Chatham's properties are located in major markets with high barriers to entry, near primary demand generators for both business and leisure guests.",Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs
CLDX UR,CELLDEX THERAPEUTICS INC,"Celldex Therapeutics Inc., a biopharmaceutical company, uses applications of immunology to prevent and treat diseases. The Company's products treat autoimmune diseases, cardiovascular diseases, cancer, and inflammation, as well as infectious diseases and organ transplant rejection.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
CLF UN,CLEVELAND-CLIFFS INC,"Cleveland-Cliffs Inc. manufactures custom-made pellets and hot briquetted iron (HBI); flat-rolled carbon steel, stainless, electrical, plate, tinplate and long steel products; as well as carbon and stainless steel tubing, hot and cold stamping and tooling.  The Company is headquartered in Cleveland, Ohio with employees spanning across the US and Canada.",Materials,Materials,Metals & Mining,Steel
CLFD UQ,CLEARFIELD INC,"Clearfield, Inc. manufactures telecommunication equipment. The Company designs accessories, cassettes, connectors, assemblies, panels, and other related products for various applications. Clearfield serves customers in the United States.",Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
CLH UN,CLEAN HARBORS INC,"Clean Harbors, Inc. provides a variety of environmental remediation and industrial waste management services to customers in the United States and Puerto Rico. The Company's services include treatment and disposal of hazardous and non-hazardous solid and liquid waste, surface remediation, groundwater restoration, and waste packaging, as well as analytical testing and consulting.",Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
CLNE UW,CLEAN ENERGY FUELS CORP,"Clean Energy Fuels Corporation designs, builds, finances and operates natural gas filling stations for vehicle fleets. The Company also helps its customers acquire and finance natural gas vehicles and obtain local, state, and federal clean air rebates and incentives.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
CLOV UW,CLOVER HEALTH INVESTMENTS CO,"Clover Health Investments, Corp. is a provider of medicare advantage health plans. The Company offers hospital, medical, and private insurance services. Clover Health Investments serves customers in the United States.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
CLPR UN,CLIPPER REALTY INC,"Clipper Realty Inc. operates as a real estate investment company. The Company acquires, owns, manages, operates, and repositions multi-family residential and commercial properties in the New York metropolitan area.",Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
CLSK UR,CLEANSPARK INC,"CleanSpark, Inc. develops renewable energy projects. The Company manages, constructs, installs, and maintains power plan projects. CleanSpark serves clients in the United States.",Information Technology,Software & Services,Software,Application Software
CLVT UN,CLARIVATE PLC,"Clarivate PLC is a provider of proprietary and comprehensive information, analytics, professional services, and workflow solutions. The Company offers scientific and academic research, biopharma, medtech, IP intelligence, consulting, and data products and services. Clarivate serves customers worldwide.",Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services
CLW UN,CLEARWATER PAPER CORP,"Clearwater Paper Corp. manufactures consumer tissue, bleached paperboard, and wood products. The Company supplies private label tissue to major retail grocery chains and produces bleached paperboard that is used by printers and packaging converters.",Materials,Materials,Paper & Forest Products,Paper Products
CLX UN,CLOROX COMPANY,"The Clorox Company manufactures and markets consumer products sold primarily through grocery and other retail stores. The Company's principal products include household cleaning and bleach products, charcoal, cat litter, dressings and sauces, natural personal care, and trash bags. Clorox markets the majority of its products in North America and the LATAM countries.",Consumer Staples,Household & Personal Products,Household Products,Household Products
CMA UN,COMERICA INC,"Comerica Incorporated is the holding company for business, individual, and investment banks with operations in the United States, Canada, and Mexico. The Company subsidiaries provides services such as corporate banking, international finance, treasury management, community and private banking, small business and individual lending, investment services, and institutional trust.",Financials,Banks,Banks,Diversified Banks
CMAX UW,CAREMAX INC,"CareMax, Inc. operates as a technology-enabled health care platform. The Company provides value-based care and chronic disease management solutions to seniors. CareMax develops proprietary software and services platform that provides data, analytics, and rules-based decision tools and workflows for physicians across the United States.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
CMBM UQ,CAMBIUM NETWORKS CORP,"Cambium Networks Corporation provides wireless broadband networking infrastructure solutions. The Company offers wireless fabric, including intelligent radios, smart antennas, RF algorithms, wireless-aware switches, and network management software. Cambium Networks serves customers globally.",Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
CMC UN,COMMERCIAL METALS CO,"Commercial Metals Company and its subsidiaries, manufactures, recycles, and markets steel and metal products and related materials. The Company trades primary and secondary metals, steel, ores, concentrates, industrial minerals, ferroalloys, chemicals, and other materials used in a variety of industries.",Materials,Materials,Metals & Mining,Steel
CMCO UW,COLUMBUS MCKINNON CORP/NY,"Columbus McKinnon Corporation of New York designs, manufactures, and distributes a variety of material handling, lifting, and positioning products. The Company's products are sold to distributors and end-users in the general manufacturing, crane building, mining, construction, transportation, entertainment, power generation, agriculture, marine, and medical markets.",Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
CMCSA UW,COMCAST CORP-CLASS A,"Comcast Corporation provides media and television broadcasting services. The Company offers video streaming, television programming, high-speed Internet, cable television, and communication services. Comcast serves customers worldwide.",Communication Services,Media & Entertainment,Media,Cable & Satellite
CME UW,CME GROUP INC,"CME Group Inc. operates a derivatives exchange that trades futures contracts and options on futures, interest rates, stock indexes, foreign exchange, and commodities. The Company brings together buyers and sellers of derivatives products on its trading floors, electronic trading platform, and through privately negotiated transactions that it clears.",Financials,Financial Services,Capital Markets,Financial Exchanges & Data
CMG UN,CHIPOTLE MEXICAN GRILL INC,"Chipotle Mexican Grill, Inc. owns and operates Mexican restaurants. The Company offers burritos, burrito bowls, quesadillas, tacos, and salads. Chipotle Mexican Grill serves customers in the United States.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
CMI UN,CUMMINS INC,"Cummins Inc. designs, manufactures, distributes, and services diesel and natural gas engines. The Company also manufactures electric power generation systems and engine-related component products, including filtration and exhaust aftertreatment, fuel systems, controls, and air handling systems.",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
CMLS UQ,CUMULUS MEDIA INC-CL A,"Cumulus Media Inc. operates as a radio broadcasting company. The Company owns and operates radio stations which provides local programs, music, sports, entertainment, news, and advertising solutions. Cumulus Media serves clients in the United States.",Communication Services,Media & Entertainment,Media,Broadcasting
CMP UN,COMPASS MINERALS INTERNATION,"Compass Minerals International, Inc. provides essential minerals. The Company produces salt, plant nutrients, and magnesium chloride, as well as offers a secure records storage in a retired mine. Compass Minerals International serves a variety of applications in industrial, agricultural, commercial and consumer markets worldwide.",Materials,Materials,Metals & Mining,Diversified Metals & Mining
CMPO UQ,COMPOSECURE INC,"CompoSecure, Inc. provides financial technology services. The Company offers payment cards, crypto currency and digital asset storage, and security solutions. CompoSecure serves customers worldwide.",Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
CMPR UW,CIMPRESS PLC,Cimpress Public Limited Company provides printing services. The Company serves customers in Ireland.,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Commercial Printing
CMRE UN,COSTAMARE INC,"Costamare, Inc. owns and operates container ships. The Company charters its vessels to shipping companies. Costamare transports goods and freight by sea. Costamare serves customers worldwide.",Industrials,Transportation,Marine Transportation,Marine Transportation
CMRX UQ,CHIMERIX INC,"Chimerix, Inc. operates as as biopharmaceutical company. The Company develops oral antiviral therapeutics to transform patient care in multiple settings including transplant, oncology, acute care, and global health. Chimerix serves patients in the United States.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
CMS UN,CMS ENERGY CORP,"CMS Energy Corporation is an energy company. The Company, through its subsidiaries, provides electricity and natural gas to its customers. CMS Energy also invests in and operates non-utility power generation plants in the United States and abroad.",Utilities,Utilities,Multi-Utilities,Multi-Utilities
CMTG UN,CLAROS MORTGAGE TRUST INC,"Claros Mortgage Trust, Inc. operates as a real estate investment trust. The Company focuses primarily on originating senior and subordinate loans on transitional commercial real estate assets located in major markets across the United States.",Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
CMTL UW,COMTECH TELECOMMUNICATIONS,"Comtech Telecommunications Corp. designs, develops, and manufactures technology electronic products and systems. The Company's communications products are used worldwide for voice, data, facsimile, and video transmissions at microwave frequencies in satellite, over-the-horizon microwave, terrestrial line-of-sight, and wireless telecommunications.",Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
CNA UN,CNA FINANCIAL CORP,"CNA Financial Corporation operates as an insurance holding company. The Company, through its subsidiaries, provides commercial property and casualty coverages such as risk management, information services, warranty, and claims administration. CNA Financial serves clients throughout the United States.",Financials,Insurance,Insurance,Property & Casualty Insurance
CNC UN,CENTENE CORP,"Centene Corporation provides multi-line healthcare solutions to individuals across all states and internationally. Centene's specialty services include medicaid and medicare health plans, treatment compliance, and nurse triage.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
CNDT UW,CONDUENT INC,"Conduent Inc operates as a business process services company. The Company specializes in transaction-intensive processing, analytics, and automation. Conduent serves the commercial industries, healthcare, and public sectors.",Industrials,Commercial & Professional Serv,Professional Services,Data Processing & Outsourced S
CNK UN,CINEMARK HOLDINGS INC,"Cinemark Holdings, Inc. operates as a movie theater. The Company offers movies, food, drinks, gift cards, and private events. Cinemark Holdings serves clients in the United States.",Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
CNM UN,CORE & MAIN INC-CLASS A,"Core & Main is a distributor of water, wastewater, storm drainage and fire protection products, and related services. The Company provides infrastructure solutions to municipalities, private water companies and professional contractors across municipal, non-residential and residential end markets, nationwide.",Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
CNMD UN,CONMED CORP,"CONMED Corporation provides orthopedic products. The Company specializes in arthroscopy and powered surgical instruments, electrosurgery systems, and ECG electrodes for heart monitoring. CONMED serves customers worldwide.",Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
CNNE UN,CANNAE HOLDINGS INC,"Cannae Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, manages and operates a group of companies and investments. Cannae Holdings serves investors in the State of Nevada.",Financials,Financial Services,Financial Services,Multi-Sector Holdings
CNO UN,CNO FINANCIAL GROUP INC,"CNO Financial Group, Inc. provides insurance products and services to American families and seniors. The Company offers supplemental health, individual life insurance, and annuities. CNO serves middle-income people and senior citizens.",Financials,Insurance,Insurance,Life & Health Insurance
CNOB UW,CONNECTONE BANCORP INC,"ConnectOne Bancorp, Inc. is a community-based, full-service commercial bank holding company. The Company concentrates on asset generation efforts in real estate, construction, business loans, and deposit accounts.",Financials,Banks,Banks,Regional Banks
CNP UN,CENTERPOINT ENERGY INC,"CenterPoint Energy, Inc. is a public utility holding company. The Company, through its subsidiaries, conducts activities in electricity transmission and distribution, natural gas distribution, interstate pipeline and gathering operations, and power generation.",Utilities,Utilities,Multi-Utilities,Multi-Utilities
CNS UN,COHEN & STEERS INC,"Cohen & Steers, Inc. operates as a global investment manager. The Company manages portfolios focused on real assets, including real estate, infrastructure and commodities, along with preferred securities and other income solutions. Cohen & Steers serves individual and institutional investors around the world through a broad range of investment vehicles.",Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
CNSL UW,CONSOLIDATED COMMUNICATIONS,"Consolidated Communications Holdings, Inc. offers telecommunications services. The Company offers local and long distance telephone, high-speed internet access, and digital television services to individuals and businesses in the States of Illinois, Pennsylvania, and Texas.",Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
CNTY UR,CENTURY CASINOS INC,"Century Casinos, Inc. operates as an entertainment company. The Company owns casinos, hotels, resorts, and luxury cruise vessels. Century Casinos serves customers worldwide.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
CNX UN,CNX RESOURCES CORP,"CNX Resources Corporation operates as a natural gas exploration and production company. The Company owns gas reserves that develop and produce natural gas, including methane and shale beds. CNX Resources serves natural gas industry in the United States.",Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
CNXC UW,CONCENTRIX CORP,Concentrix Corporation provides technology infused solutions. The Company offers digital customer experience (CX) solutions. Concentrix serves customers in the United States.,Industrials,Commercial & Professional Serv,Professional Services,Data Processing & Outsourced S
CNXN UW,PC CONNECTION INC,"PC Connection, Inc. is a direct marketer of personal computers and related peripherals, software, accessories, and networking products. The Company sells to small and medium-sized businesses. PC Connection carries high turnover products in inventory, and in addition provides customer service and technical support.",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors
COCO UW,VITA COCO CO INC/THE,"The Vita Coco Company, Inc. operates as a healthy beverage producing company. The Company offers coconut water, oil, and milk, as well as energy drinks and a flavored protein-infused and packaged water. Vita Coco serves customers globally.",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be
CODI UN,COMPASS DIVERSIFIED HOLDINGS,Compass Diversified Holdings is an investment holding company. The Company acquires controlling interests in profitable small to middle market businesses in niche industries as well as works with management to pursue growth opportunities and provide strategic support.,Financials,Financial Services,Financial Services,Multi-Sector Holdings
COF UN,CAPITAL ONE FINANCIAL CORP,"Capital One Financial Corporation provides commercial banking services. The Bank accepts deposits and offers personal credit cards, investment products, loans, and online banking services. Capital One serves customers in the State of Virginia.",Financials,Financial Services,Consumer Finance,Consumer Finance
COGT UW,COGENT BIOSCIENCES INC,"Cogent Biosciences, Inc. operates as a biotechnology company. The Company focuses on development and commercialization of solutions to treat cancers, autoimmune conditions, and rare diseases. Cogent Biosciences serves patients worldwide.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
COHR UN,COHERENT CORP,"Coherent Corp. designs engineered materials and optoelectronic components. The Company offers products to industrial, optical communications, military, life sciences, semiconductor equipment, and consumer markets. Coherent also manufactures semiconductor lasers and optics for high power industrial lasers, optical communications systems, datacenter connectivity, and 3D sensing.",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
COHU UW,COHU INC,"Cohu, Inc. designs, manufactures, and sells semiconductor test handling equipment to semiconductor manufacturers throughout the world. The Company also manufactures closed circuit television, metal detection, and microwave equipment.",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
COIN UW,COINBASE GLOBAL INC -CLASS A,"Coinbase Global, Inc. provides financial solutions. The Company offers platform to buy and sell cryptocurrencies. Coinbase Global serves clients worldwide.",Financials,Financial Services,Capital Markets,Financial Exchanges & Data
COKE UW,COCA-COLA CONSOLIDATED INC,"Coca-Cola Consolidated, Inc. manufactures and supplies non-alcoholic beverages. The Company produces, markets, and distributes energy and sports drinks, bottled water, tea, ready-to-drink coffee, and juices. Coca-Cola Consolidated serves customers in the United States.",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be
COLB UW,COLUMBIA BANKING SYSTEM INC,"Columbia Banking System, Inc. is the holding company for Columbia Bank, a full service commercial bank. The Bank serves small and medium-sized businesses, professionals, and other individuals through office in the Tacoma metropolitan area and contiguous parts of the Puget Sound region of Washington, as well as the Longview and Woodland communities in southwestern Washington.",Financials,Banks,Banks,Regional Banks
COLD UN,AMERICOLD REALTY TRUST INC,"Americold Realty Trust, Inc. provides temperature-controlled food distribution services. The Company offers warehousing, consolidation programs, shipment management, multi-vendor consoldiation, and logistics solutions. Americold Realty Trust serves food producers, processors, distributors, wholesalers, retailers, and restaurants worldwide.",Real Estate,Equity Real Estate Investment,Industrial REITs,Industrial REITs
COLL UW,COLLEGIUM PHARMACEUTICAL INC,"Collegium Pharmaceutical, Inc. offers pharmaceutical products. The Company develops and commercializes prescription and over-the-counter pharmaceuticals for the treatment of central nervous system, respiratory, and skin related disorders.",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
COLM UW,COLUMBIA SPORTSWEAR CO,"Columbia Sportswear Company designs, manufactures, markets, and distributes active outdoor apparels. The Company offers jackets, rainwear, golf apparels, bottoms, bags, coolers, hats, sunglasses, and footwear products. Columbia Sportswear serves customers worldwide.",Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
COMM UW,COMMSCOPE HOLDING CO INC,"CommScope Holding Company, Inc. operates as a holding company. The Company, through its subsidiaries, provides end-to-end solutions connecting technology and wireless and wired networks. CommScope Holding serves customers worldwide.",Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
